Area,Key,Role,MaxChars,English,Somali (current),Somali (AI),Reviewer notes
Common,appTitle,title,20,DukanPro,DukanPro,,
Common,languageEnglish,body,,English,Ingiriis,,
Common,languageSomali,body,,Somali,Soomaali,,
Home,homeHint,hint,,Choose today's job,Dooro shaqada maanta,,
Sale,sale,home_tile,14,Sale,Iibi,,
Receive,receive,home_tile,14,Receive,Alaab Dajin,,
Payment,payment,body,,Payment,Lacag bixin,,
Payment,paymentInLabel,home_tile,14,Money In,Lacag Soo Gal,,
Payment,paymentOutLabel,home_tile,14,Money Out,Lacag Bax,,
Payment,paymentDetailSettledHeader,header,24,Paid for,Waxa loo bixiyay,,
Payment,paymentDetailNoAllocations,body,,This payment isn't linked to a sale or receive yet.,Lacagtan weli lama xirin iib ama qaadasho.,,
Payment,paymentDetailLoadFailedMessage,empty_error,,Couldn't load this payment.,Lama soo qaadan karin lacagtan.,,
Expense,expense,home_tile,14,Expense,Qarashaad,,
Common,cash,body,,CASH,KAASH,,
Common,debt,body,,DEBT,DEYN,,
Common,confirm,body,,CONFIRM,XAQIIJI,,
Common,searchItems,body,,Search items,Raadi alaab,,
Common,favorites,body,,Favorites,Kuwa la jecel yahay,,
Sale,cart,body,,CART,Danbiil,,
Common,total,body,,Total,Wadar,,
Common,undo,body,,Undo,Ka noqo,,
Common,quantity,body,,Qty,Tiro,,
Common,price,body,,Price,Qiime,,
Common,cancel,body,,Cancel,Jooji,,
Receive,receiveTitle,title,20,Receive,Alaab dajin,,
Receive,bonoAttachTooltip,body,,Attach bono photo,Sawir bonoga,,
Receive,bonoAttachedTooltip,body,,Bono attached — tap to replace,Bono waa la sawiray — taabo si aad u beddesho,,
Receive,bonoAttachCamera,body,,Take photo,Sawir hadda,,
Receive,bonoAttachGallery,body,,Choose from gallery,Sawir ka hor leh,,
Receive,bonoAttachedToast,toast,,Bono photo attached,Sawirka bonoga waa la raaciyay,,
Receive,bonoAttachFailedMessage,empty_error,,Could not attach the bono. Try again.,Bonoga lama raacin karin. Isku day mar kale.,,
Parties,partyDetailTitle,title,20,Party,Qof,,
Parties,partyHideTooltip,body,,Hide,Qari,,
Parties,partyHideConfirmTitle,dialog_title,30,Hide this contact?,Ma qarinaysaa qofkan?,,
Parties,partyHideConfirmBody,dialog_body,,They'll be removed from your lists. Any balance and history stay. You can ask support to bring them back.,Waxaa laga saari doonaa liisaskaaga. Lacagta iyo taariikhda way sii jiri doonaan. Waxaad weydiisan kartaa taageerada inay soo celiyaan.,,
Parties,partyHideConfirmYes,button,14,HIDE,QARI,,
Parties,partyHiddenToast,toast,,Contact hidden,Qofka waa la qariyay,,
Common,backdateChipToday,body,,Today,Maanta,,
Common,backdateChipTooltip,body,,Change date,Beddel taariikhda,,
Common,backdateBannerLabel,label,24,Recording for {date},Waxaad u diiwaangelinaysaa {date},,
